Year,Week,Resort,VisitorDays,Bureau of Meteorology station number,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres),Highest Lifted Point,Lowest Lifted Point,Skiable Area,Snow Making Area,Lifts
2014,1,Mt. Baw Baw,555,85291,4.96,1.1,0.63,1562m,1407m,30ha,10ha,7
2014,2,Mt. Baw Baw,804,85291,5.49,0.81,0.2,1562m,1407m,30ha,10ha,7
2014,3,Mt. Baw Baw,993,85291,1.04,-1.81,2.21,1562m,1407m,30ha,10ha,7
2014,4,Mt. Baw Baw,2976,85291,2.53,-0.96,1.11,1562m,1407m,30ha,10ha,7
2014,5,Mt. Baw Baw,11112,85291,0.69,-2.26,3.4,1562m,1407m,30ha,10ha,7
2014,6,Mt. Baw Baw,13381,85291,1.01,-2.43,1.43,1562m,1407m,30ha,10ha,7
2014,7,Mt. Baw Baw,8832,85291,3.79,0.01,1.2,1562m,1407m,30ha,10ha,7
2014,8,Mt. Baw Baw,9347,85291,1.7,-2.17,4.26,1562m,1407m,30ha,10ha,7
2014,9,Mt. Baw Baw,10071,85291,2.11,-2.01,1.66,1562m,1407m,30ha,10ha,7
2014,10,Mt. Baw Baw,11071,85291,3.54,-2.11,1.31,1562m,1407m,30ha,10ha,7
2014,11,Mt. Baw Baw,10079,85291,5.29,-0.06,3.14,1562m,1407m,30ha,10ha,7
2014,12,Mt. Baw Baw,7635,85291,8.26,1.83,0.97,1562m,1407m,30ha,10ha,7
2014,13,Mt. Baw Baw,4681,85291,5.81,-0.31,1.49,1562m,1407m,30ha,10ha,7
2014,14,Mt. Baw Baw,1904,85291,5.67,1.01,1.8,1562m,1407m,30ha,10ha,7
2014,15,Mt. Baw Baw,0,85291,4.73,-0.64,1.14,1562m,1407m,30ha,10ha,7
2015,1,Mt. Baw Baw,3185,85291,6.27,0,2.91,1562m,1407m,30ha,10ha,7
2015,2,Mt. Baw Baw,2058,85291,2.89,-0.96,1.43,1562m,1407m,30ha,10ha,7
2015,3,Mt. Baw Baw,1745,85291,6.24,-0.07,0.11,1562m,1407m,30ha,10ha,7
2015,4,Mt. Baw Baw,2751,85291,1.03,-2.01,3.03,1562m,1407m,30ha,10ha,7
2015,5,Mt. Baw Baw,6748,85291,1.59,-1.51,2.46,1562m,1407m,30ha,10ha,7
