Year,Week,Resort,VisitorDays,Bureau of Meteorology station number,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres)
2014.0,1.0,Mt. Baw Baw,555.0,85291,4.96,1.1,0.63
2014.0,2.0,Mt. Baw Baw,804.0,85291,5.49,0.81,0.2
2014.0,3.0,Mt. Baw Baw,993.0,85291,1.04,-1.81,2.21
2014.0,4.0,Mt. Baw Baw,2976.0,85291,2.53,-0.96,1.11
2014.0,5.0,Mt. Baw Baw,11112.0,85291,0.69,-2.26,3.4
2014.0,6.0,Mt. Baw Baw,13381.0,85291,1.01,-2.43,1.43
2014.0,7.0,Mt. Baw Baw,8832.0,85291,3.79,0.01,1.2
2014.0,8.0,Mt. Baw Baw,9347.0,85291,1.7,-2.17,4.26
2014.0,9.0,Mt. Baw Baw,10071.0,85291,2.11,-2.01,1.66
2014.0,10.0,Mt. Baw Baw,11071.0,85291,3.54,-2.11,1.31
2014.0,11.0,Mt. Baw Baw,10079.0,85291,5.29,-0.06,3.14
2014.0,12.0,Mt. Baw Baw,7635.0,85291,8.26,1.83,0.97
2014.0,13.0,Mt. Baw Baw,4681.0,85291,5.81,-0.31,1.49
2014.0,14.0,Mt. Baw Baw,1904.0,85291,5.67,1.01,1.8
2014.0,15.0,Mt. Baw Baw,0.0,85291,4.73,-0.64,1.14
2015.0,1.0,Mt. Baw Baw,3185.0,85291,6.27,-0.0,2.91
2015.0,2.0,Mt. Baw Baw,2058.0,85291,2.89,-0.96,1.43
2015.0,3.0,Mt. Baw Baw,1745.0,85291,6.24,-0.07,0.11
2015.0,4.0,Mt. Baw Baw,2751.0,85291,1.03,-2.01,3.03
2015.0,5.0,Mt. Baw Baw,6748.0,85291,1.59,-1.51,2.46
2015.0,6.0,Mt. Baw Baw,8269.0,85291,0.29,-3.67,1.94
2015.0,7.0,Mt. Baw Baw,8219.0,85291,0.97,-1.71,3.43
2015.0,8.0,Mt. Baw Baw,8600.0,85291,-0.03,-3.44,4.14
2015.0,9.0,Mt. Baw Baw,8932.0,85291,0.87,-3.19,3.54
2015.0,10.0,Mt. Baw Baw,10429.0,85291,1.31,-1.87,2.86
2015.0,11.0,Mt. Baw Baw,10927.0,85291,4.16,-0.64,0.34
2015.0,12.0,Mt. Baw Baw,9027.0,85291,1.37,-2.7,4.63
2015.0,13.0,Mt. Baw Baw,6236.0,85291,3.7,-1.56,1.17
2015.0,14.0,Mt. Baw Baw,4387.0,85291,7.07,-1.07,3.66
2015.0,15.0,Mt. Baw Baw,2247.0,85291,5.2,0.16,1.31
2016.0,1.0,Mt. Baw Baw,1154.0,85291,5.27,-0.33,4.0
2016.0,2.0,Mt. Baw Baw,1298.0,85291,4.47,2.0,0.74
2016.0,3.0,Mt. Baw Baw,2306.0,85291,-0.27,-3.13,1.91
2016.0,4.0,Mt. Baw Baw,8796.0,85291,1.56,-1.24,2.49
2016.0,5.0,Mt. Baw Baw,7976.0,85291,1.89,-0.57,3.37
2016.0,6.0,Mt. Baw Baw,6614.0,85291,4.9,-0.49,1.54
2016.0,7.0,Mt. Baw Baw,5267.0,85291,1.43,-2.41,1.89
2016.0,8.0,Mt. Baw Baw,6394.0,85291,1.83,-1.21,2.06
2016.0,9.0,Mt. Baw Baw,6676.0,85291,1.97,-1.99,1.31
2016.0,10.0,Mt. Baw Baw,5593.0,85291,4.0,-0.69,1.26
2016.0,11.0,Mt. Baw Baw,3979.0,85291,2.83,-1.13,2.17
2016.0,12.0,Mt. Baw Baw,3909.0,85291,3.2,-0.91,1.29
2016.0,13.0,Mt. Baw Baw,1373.0,85291,7.74,1.37,2.83
2016.0,14.0,Mt. Baw Baw,0.0,85291,5.59,2.11,2.11
2016.0,15.0,Mt. Baw Baw,0.0,85291,4.56,-0.81,1.86
2017.0,1.0,Mt. Baw Baw,3569.0,85291,6.81,0.37,0.77
2017.0,2.0,Mt. Baw Baw,798.0,85291,5.83,0.24,0.6
2017.0,3.0,Mt. Baw Baw,846.0,85291,0.14,-2.47,2.03
2017.0,4.0,Mt. Baw Baw,3486.0,85291,1.8,-2.57,3.86
2017.0,5.0,Mt. Baw Baw,5981.0,85291,0.81,-2.66,1.09
2017.0,6.0,Mt. Baw Baw,9132.0,85291,1.03,-2.17,2.0
2017.0,7.0,Mt. Baw Baw,7286.0,85291,2.19,-2.26,4.77
2017.0,8.0,Mt. Baw Baw,5799.0,85291,3.7,-1.61,2.54
2017.0,9.0,Mt. Baw Baw,5331.0,85291,1.87,-1.53,3.97
2017.0,10.0,Mt. Baw Baw,6311.0,85291,3.46,-0.06,2.4
2017.0,11.0,Mt. Baw Baw,5884.0,85291,0.17,-3.54,4.26
2017.0,12.0,Mt. Baw Baw,4921.0,85291,0.36,-4.26,4.34
2017.0,13.0,Mt. Baw Baw,4086.0,85291,2.44,-1.84,3.29
2017.0,14.0,Mt. Baw Baw,5565.0,85291,3.1,-1.24,0.77
2017.0,15.0,Mt. Baw Baw,3409.0,85291,4.83,-2.99,3.26
2018.0,1.0,Mt. Baw Baw,2753.0,85291,2.61,-0.19,3.26
2018.0,2.0,Mt. Baw Baw,2102.0,85291,1.85,-2.14,2.83
2018.0,3.0,Mt. Baw Baw,5768.0,85291,2.86,-1.07,0.54
2018.0,4.0,Mt. Baw Baw,7058.0,85291,3.63,-0.16,2.03
2018.0,5.0,Mt. Baw Baw,11141.0,85291,1.03,-2.47,2.63
2018.0,6.0,Mt. Baw Baw,18031.0,85291,2.15,-2.7,1.63
2018.0,7.0,Mt. Baw Baw,8803.0,85291,1.29,-2.54,2.73
2018.0,8.0,Mt. Baw Baw,7966.0,85291,2.87,-1.41,3.54
2018.0,9.0,Mt. Baw Baw,8950.0,85291,1.81,-2.59,3.49
2018.0,10.0,Mt. Baw Baw,7621.0,85291,1.64,-2.18,3.04
2018.0,11.0,Mt. Baw Baw,6837.0,85291,0.39,-3.46,4.39
2018.0,12.0,Mt. Baw Baw,10011.0,85291,3.01,-2.87,1.91
2018.0,13.0,Mt. Baw Baw,6751.0,85291,3.1,-1.29,2.6
2018.0,14.0,Mt. Baw Baw,5793.0,85291,7.89,0.19,0.37
2018.0,15.0,Mt. Baw Baw,4064.0,85291,3.43,-2.06,2.69
2019.0,1.0,Mt. Baw Baw,6393.0,85291,6.47,2.43,2.87
2019.0,2.0,Mt. Baw Baw,4311.0,85291,1.34,-1.91,4.17
2019.0,3.0,Mt. Baw Baw,5341.0,85291,6.04,0.51,0.03
2019.0,4.0,Mt. Baw Baw,6645.0,85291,3.79,-0.81,2.06
2019.0,5.0,Mt. Baw Baw,10595.0,85291,1.98,-1.09,3.29
2019.0,6.0,Mt. Baw Baw,9056.0,85291,1.94,-2.16,3.49
2019.0,7.0,Mt. Baw Baw,9515.0,85291,3.17,-1.14,2.07
2019.0,8.0,Mt. Baw Baw,10134.0,85291,3.69,-1.73,1.69
2019.0,9.0,Mt. Baw Baw,10039.0,85291,0.73,-2.61,1.17
2019.0,10.0,Mt. Baw Baw,4004.0,85291,1.77,-2.64,3.23
